huitongkuaidi	75179	0.0357936604670473
yuanchengwuliu	106	5.046792334969891E-5
aae	18	8.570024719760192E-6
quanyikuaidi	1107	5.270565202652518E-4
gangzhongnengda	1154	5.494338070335146E-4
tiantian	55681	0.02651041924560929
zhaijisong	16583	0.007895373329321291
datianwuliu	30	1.4283374532933652E-5
ems	263350	0.1253842227749359
yuantong	427953	0.20375376604975184
dpex	1	4.761124844311218E-7
lianhaowuliu	31	1.4759487017364774E-5
youzhengguonei	38729	0.018439360409532913
yunda	299896	0.1427842296309557
guotongkuaidi	20624	0.009819343878907455
quanfengkuaidi	2013	9.58414431159848E-4
shenghuiwuliu	837	3.985061494688489E-4
longbanwuliu	3042	0.0014483341776394725
youzhengguoji	155	7.379743508682387E-5
xinbangwuliu	1091	5.194387205143538E-4
\n运单号码： 768275448399	1	4.761124844311218E-7
rufengda	59244	0.02820680802763738
debangwuliu	7805	0.0037160579409849055
dhl	1623	7.727305622317106E-4
\n您的货物已分配给陕西邮政快递，请等待陕西邮政快递的配送员为您送货，货运单号为：1115310224201【京东】	1	4.761124844311218E-7
huiqiangkuaidi	202	9.61747218550866E-5
kuaijiesudi	7570	0.0036041715071435916
yafengsudi	199	9.474638440179322E-5
zhongtong	271283	0.129161223113928
shunfeng	319163	0.15195748886849011
tiandihuayu	1790	8.522413471317079E-4
553505	1	4.761124844311218E-7
运单号	1	4.761124844311218E-7
hengluwuliu	39	1.8568386892813748E-5
xinfengwuliu	2112	0.0010055495671185291
baifudongfang	14	6.6655747820357045E-6
ups	337	1.6044990725328802E-4
tnt	225	1.071253089970024E-4
minghangkuaidi	16	7.617799750897948E-6
shentong	221138	0.1052865625821294
